race_id,horse_no,horse_id,result,won,lengths_behind,horse_age,horse_country,horse_type,horse_rating,horse_gear,declared_weight,actual_weight,draw,position_sec1,position_sec2,position_sec3,position_sec4,position_sec5,position_sec6,behind_sec1,behind_sec2,behind_sec3,behind_sec4,behind_sec5,behind_sec6,time1,time2,time3,time4,time5,time6,finish_time,win_odds,place_odds,trainer_id,jockey_id,date,venue,surface
6363,11,2598,7,False,1.25,3,AUS,Gelding,44,--,1206.0,126,10,12,12,10,,11.0,,3.75,6.0,4.0,,,,14.2,23.11,22.36,24.43,,,74.43,24.0,1.1,47,175,1999-07-08,ST,0
6364,10,2107,3,False,3.5,2,AUS,Gelding,39,--,1179.0,117,1,5,3,12,,,,3.75,6.5,2.25,9.0,,3.25,14.23,23.16,23.27,,,,95.66,12.0,1.9,55,76,2006-03-18,ST,0
6365,5,1109,10,False,6.75,3,NZ,Gelding,60,B2,1081.0,132,2,1,10,6,5.0,,,6.75,3.5,5.0,3.5,,,24.58,22.42,23.68,24.18,23.17,,138.87,17.0,1.5,118,162,2006-03-23,ST,0
6366,6,1462,6,False,6.25,3,GB,Gelding,71,H/V1,1244.0,120,11,9,1,4,1.0,,,5.0,0.5,0.25,0.5,,,25.52,20.8,23.32,,,,70.5,5.9,1.5,7,76,2004-12-28,ST,0
6367,5,2312,1,False,0.25,3,AUS,Gelding,62,--,1152.0,133,9,2,12,4,,,,0.5,4.5,4.75,,,,24.03,22.62,23.65,,,,71.45,11.0,4.3,55,64,1998-11-30,ST,0
6368,14,3716,5,False,4.75,3,AUS,Gelding,35,--,1025.0,126,3,12,3,7,,,,1.75,5.25,13.25,,,,23.78,22.76,24.17,23.2,,,111.32,2.5,1.6,4,63,2000-11-03,HV,1
6369,8,1680,2,False,1.5,6,AUS,Gelding,44,--,1109.0,123,8,10,4,4,,,,6.5,3.5,7.75,4.75,,,24.89,21.57,23.85,23.74,25.55,,58.2,10.0,8.4,118,138,2001-02-09,HV,1
6370,12,3582,4,False,15.25,3,AUS,Gelding,60,TT/B,1083.0,133,6,1,13,3,13.0,,,1.0,2.25,5.25,3.25,,,24.16,24.23,23.29,,,,99.58,12.0,4.3,137,106,1999-05-31,ST,0
6371,2,734,9,False,4.25,4,IRE,Gelding,60,--,1041.0,115,6,10,8,7,7.0,,,7.0,1.25,2.25,,,,24.73,22.67,24.06,23.07,,,95.56,7.3,3.6,137,150,2003-07-21,HV,0
6372,8,2195,7,False,4.5,3,NZ,Gelding,60,--,1039.0,114,8,3,6,5,,,,0.75,4.25,1.5,1.0,,17.25,13.12,23.49,24.14,,,,94.35,10.0,,80,151,1999-12-06,HV,0
6373,9,3294,4,False,5.0,3,IRE,Gelding,60,--,1091.0,119,12,3,7,12,,,,1.0,8.25,0.5,2.0,3.5,,14.31,22.89,24.61,23.39,,,104.42,99.0,5.5,118,76,1998-08-20,HV,0
6374,6,1279,5,False,3.0,3,AUS,Gelding,73,B2,1077.0,122,5,8,3,4,2.0,,,1.25,1.5,7.25,,,,26.64,23.52,24.41,22.65,,,102.24,41.0,6.4,80,18,1999-02-08,ST,1
6375,6,3119,9,False,19.5,3,AUS,Gelding,60,--,1161.0,129,6,2,10,3,12.0,,,3.25,1.25,6.0,,,,14.74,25.05,24.84,24.59,23.43,,102.48,6.5,1.9,97,64,2003-09-15,ST,0
6376,1,3716,8,False,5.5,6,NZ,Gelding,42,--,1079.0,119,10,6,11,10,10.0,,,3.25,1.75,1.5,4.25,,,23.74,22.28,24.52,,,,99.38,6.9,1.7,75,175,2002-12-09,HV,0
6377,5,4345,4,False,7.25,3,AUS,Gelding,60,TT/B,1102.0,127,3,11,7,11,,,,1.0,5.5,7.75,,,,14.06,23.15,23.48,,27.81,,70.67,44.0,12.0,137,18,2002-07-08,HV,0
6378,12,2905,1,False,35.0,3,NZ,Gelding,60,--,1151.0,126,6,4,3,11,,10.0,,1.5,6.25,4.0,,,,13.86,22.72,22.24,,,,100.19,22.0,23.0,70,138,2000-06-13,HV,0
6379,10,2118,11,False,0.0,3,AUS,Gelding,92,TT,1199.0,122,3,8,11,12,,,,3.75,2.75,12.0,3.5,,,14.12,22.48,24.25,23.37,,,95.71,35.0,2.0,97,162,2000-08-11,HV,0
6380,11,2386,12,False,11.75,3,AUS,Gelding,60,--,1056.0,121,11,10,9,5,,,,1.0,5.0,6.5,,,,25.88,22.57,23.89,24.28,,,83.81,5.1,12.0,97,24,2005-12-16,ST,0
6381,11,1055,8,False,0.75,3,AUS,Gelding,60,P-/B2,1078.0,133,8,4,9,9,,,,1.5,0.75,3.75,6.0,,,24.67,22.44,24.85,,,,111.43,99.0,5.7,128,21,2002-11-04,HV,0
6382,5,409,6,False,40.75,3,NZ,Mare,63,--,1009.0,125,12,6,8,3,,,,2.5,3.5,3.75,2.5,,,13.13,23.2,22.77,,,,101.56,13.0,1.9,164,34,2003-01-13,HV,1
6383,10,746,11,False,5.5,5,AUS,Gelding,60,--,1082.0,122,9,10,3,12,4.0,,,5.75,4.0,0.25,9.0,,,25.06,25.02,23.62,,,,103.88,63.0,6.4,97,162,2003-08-04,ST,0
6384,8,4289,10,False,12.25,2,AUS,Gelding,60,TT/H,1159.0,118,9,1,11,2,,,,1.75,2.75,1.75,3.0,,,14.08,23.17,23.8,,,,97.83,26.0,14.0,138,177,2000-10-27,HV,1
6385,8,701,5,False,3.5,3,NZ,Gelding,60,TT/B,1150.0,130,9,9,11,2,,,,0.75,3.0,3.25,9.75,15.75,,28.78,23.12,25.22,24.11,26.77,,83.22,23.0,2.0,75,64,2004-11-02,HV,0
6386,7,3908,7,False,4.75,3,GB,Gelding,60,--,1187.0,115,13,6,11,2,,,,0.25,0.75,5.75,,,,13.98,24.41,22.85,24.82,,,70.16,32.0,6.3,117,57,2003-08-18,ST,0
6387,9,1525,1,False,4.75,3,NZ,Gelding,60,TT/CP/H/SR,1113.0,126,6,8,4,7,,,,1.75,1.5,2.0,,,,24.16,24.96,24.9,23.57,,,111.56,20.0,13.0,70,138,1999-01-24,ST,0
6388,14,1169,5,False,1.25,3,AUS,Gelding,60,--,1056.0,125,10,8,11,8,,,,5.75,7.25,3.5,4.0,,,25.46,23.7,22.13,,,,103.94,8.5,6.4,29,140,2002-06-23,ST,0
6389,2,4384,9,False,5.75,3,AUS,Gelding,60,--,1131.0,113,13,6,5,4,,8.0,,0.25,8.0,5.0,4.5,5.0,,23.98,22.22,24.08,24.31,24.11,,69.77,2.9,1.8,69,63,2001-11-01,ST,0
6390,10,3051,2,False,1.25,3,NZ,Gelding,68,--,1154.0,124,3,3,3,3,,4.0,3.0,7.0,7.5,1.0,,,,13.29,22.12,23.55,,23.91,,71.23,13.0,3.8,98,2,1999-02-11,ST,0
6391,6,836,9,False,3.75,3,GB,Gelding,57,--,1068.0,132,12,6,8,4,1.0,,,6.5,3.75,9.25,2.25,2.75,,13.42,21.76,22.9,24.69,,,102.26,21.0,3.2,132,63,2005-01-18,HV,0
6392,4,2997,4,False,3.5,3,NZ,Gelding,60,--,1155.0,128,5,10,1,11,7.0,12.0,,7.5,5.75,0.5,6.75,,,24.41,22.37,24.59,22.75,23.64,,83.07,33.0,2.5,164,160,2004-06-08,HV,0
6393,14,4157,5,False,2.25,3,NZ,Gelding,60,--,1134.0,123,8,8,5,2,,,,1.25,3.25,2.75,,,,25.98,22.93,22.63,24.92,,,101.14,30.0,1.7,69,50,1998-07-06,ST,0
6394,13,2195,9,False,13.0,3,AUS,Gelding,60,--,1124.0,125,8,14,6,11,4.0,1.0,,3.25,2.25,3.0,6.75,,,29.0,22.01,25.36,24.69,,,71.3,28.0,3.7,138,150,2006-01-29,HV,0
6395,1,2011,10,False,1.5,4,NZ,Gelding,47,--,1178.0,126,12,1,8,7,11.0,10.0,,1.0,5.0,1.0,,,,29.46,23.06,22.39,24.38,,,104.05,5.3,4.1,138,2,1999-12-26,ST,0
6396,7,1028,4,False,5.75,3,IRE,Gelding,60,H1,1005.0,124,8,2,8,10,6.0,,,7.0,6.0,8.25,,,,23.75,22.78,23.55,23.71,,,97.62,9.6,23.0,29,175,2005-08-18,HV,0
6397,10,3166,1,False,2.25,3,AUS,Gelding,51,--,1140.0,127,12,14,9,8,7.0,,,6.25,5.75,8.0,0.75,1.5,,12.9,22.24,24.71,23.04,,,101.48,26.0,1.6,4,76,2004-08-10,ST,0
6398,7,4022,5,False,7.0,6,AUS,Gelding,60,--,1095.0,118,2,10,12,7,,,,0.75,10.5,2.5,,15.0,,14.54,24.18,24.52,,,,69.84,10.0,12.0,27,96,2000-11-17,ST,0
6399,13,8,8,False,4.25,3,NZ,Gelding,83,--,1227.0,118,8,11,10,1,,,,5.25,8.25,3.25,,,,24.22,22.98,23.69,,,,110.24,15.0,3.5,9,91,2003-09-22,ST,1
6400,10,1237,4,False,4.25,5,AUS,Gelding,32,B,1229.0,129,12,1,13,5,,,,5.25,3.75,1.25,,5.0,,28.43,22.14,25.52,25.57,24.64,,94.68,4.0,2.5,55,76,1998-10-01,ST,0
6401,6,1715,7,False,6.25,3,AUS,Gelding,83,--,1031.0,117,4,2,7,4,12.0,,,6.5,3.5,3.5,2.5,,,27.54,22.88,23.52,,,,97.6,7.4,38.0,137,132,2000-12-01,HV,1
6402,3,2112,3,False,1.75,5,NZ,Gelding,60,--,1182.0,117,10,9,11,11,10.0,9.0,,5.0,9.0,7.0,,,,13.95,22.51,22.87,22.94,,,84.08,6.9,2.7,80,21,1998-10-26,HV,0
6403,8,4326,8,False,1.75,3,FR,Gelding,23,--,1079.0,113,9,7,9,3,6.0,,,1.0,0.75,2.75,1.0,,,27.78,23.3,23.88,24.14,,,81.85,99.0,,138,162,2005-07-31,HV,0
6404,3,4133,10,False,2.75,3,AUS,Gelding,60,--,1022.0,128,8,4,3,7,7.0,,,6.0,1.25,3.75,3.5,,,27.29,22.26,23.66,24.35,23.95,,102.41,13.0,20.0,9,64,2004-08-10,HV,0
6405,2,3118,1,False,33.0,3,NZ,Gelding,32,--,1088.0,131,9,6,9,9,,,,1.5,4.5,2.25,,,,28.31,22.85,23.39,24.48,,,70.39,27.0,2.2,70,64,2000-03-21,HV,0
6406,8,1935,10,False,9.25,3,USA,Gelding,60,--,1052.0,121,10,11,3,9,9.0,,,6.0,1.5,2.25,,,,25.51,22.36,23.58,,,,85.75,11.0,4.1,111,57,2003-09-12,ST,0
6407,13,3931,7,False,5.25,3,IRE,Gelding,60,TT/B,1035.0,123,4,10,11,2,,,,3.5,3.5,2.75,2.75,,,14.3,24.4,23.94,,,,102.09,34.0,3.4,9,64,2003-08-14,HV,0
6408,8,1839,12,False,2.0,3,IRE,Gelding,60,--,1128.0,114,9,3,3,4,3.0,,,0.25,0.25,1.5,17.0,4.75,,24.09,21.91,23.57,,,,101.43,9.9,6.5,63,149,2005-03-28,ST,0
6409,9,707,12,False,2.0,5,NZ,Gelding,60,--,1002.0,111,7,1,2,6,1.0,,,2.75,6.0,4.5,,,,29.12,21.61,23.79,24.83,,,95.21,10.0,2.4,97,151,2003-10-13,ST,0
6410,12,3970,7,False,7.0,3,NZ,Gelding,60,--,1170.0,131,7,6,3,9,3.0,,,8.0,5.0,5.0,5.25,,,26.34,22.83,23.0,22.48,,,101.63,29.0,2.9,63,21,2000-03-14,ST,0
6411,8,1889,14,False,0.0,3,AUS,Gelding,60,--,1131.0,132,12,8,7,4,,,,1.5,4.0,0.5,,0.5,,14.76,24.45,25.5,,,,100.58,4.8,2.1,118,151,2001-03-17,ST,0
6412,3,2642,8,False,12.75,5,AUS,Gelding,60,--,1126.0,129,2,9,10,5,14.0,,,1.75,7.5,0.5,5.25,,,24.48,21.99,23.43,24.26,,,57.99,9.9,2.4,55,57,2000-03-28,HV,0
6413,13,2984,8,False,1.75,3,NZ,Gelding,85,B,1065.0,122,11,7,3,1,14.0,,,1.5,5.25,0.5,18.5,,,14.01,24.18,25.3,25.86,,,70.91,7.8,1.5,7,150,2006-08-21,HV,1
6414,1,2101,14,False,0.15,3,NZ,Gelding,70,--,1111.0,132,7,11,5,10,,,,3.75,0.5,2.75,11.0,,,24.44,22.83,23.05,25.33,,,82.44,8.8,14.0,9,100,2001-12-13,ST,0
6415,9,4265,4,False,7.0,2,IRE,Gelding,60,--,1134.0,118,6,2,5,5,3.0,,,3.5,4.25,3.5,2.75,0.5,,25.6,24.11,23.77,23.19,,,99.3,5.1,4.9,69,39,2005-12-16,ST,0
6416,12,1568,11,False,2.0,3,AUS,Gelding,60,--,1081.0,117,5,13,9,12,1.0,,,0.75,4.0,1.5,10.5,,,13.77,22.82,24.47,25.41,,,109.22,3.3,7.2,7,21,2003-07-14,ST,0
6417,4,2620,9,False,1.25,2,USA,Gelding,60,--,1164.0,118,10,2,4,14,10.0,6.0,,1.75,7.0,1.75,9.0,,,14.22,23.47,24.28,,,,70.69,36.0,10.0,7,124,1998-09-06,ST,0
6418,1,1961,2,False,2.25,3,IRE,Gelding,67,--,1115.0,113,9,1,3,7,7.0,5.0,,1.0,0.75,0.75,3.5,,,13.76,22.94,24.48,23.21,,,103.65,11.0,6.1,137,50,2006-08-17,HV,0
6419,10,807,7,False,6.75,3,NZ,Gelding,60,TT/B,1122.0,129,1,7,3,9,8.0,,,1.75,5.25,4.75,2.25,,6.5,23.76,22.6,23.7,23.28,,,70.6,99.0,4.6,97,151,2004-06-04,ST,0
6420,4,1278,10,False,4.0,3,IRE,Gelding,60,TT1,1226.0,127,3,9,2,12,7.0,,,3.75,3.25,2.25,,,,28.05,22.0,22.82,,,,69.67,19.0,15.0,117,132,2006-03-13,ST,0
6421,9,1947,5,False,9.0,3,AUS,Gelding,48,--,1083.0,131,1,2,13,8,,,,3.75,3.0,2.5,,,,14.53,22.83,23.94,,,,83.61,59.0,16.0,7,149,2001-11-15,HV,0
6422,10,1185,11,False,5.0,3,AUS,Horse,53,B/H,1091.0,118,11,9,5,5,3.0,,,1.75,10.0,11.0,2.0,,,14.45,22.54,25.57,24.06,,,71.12,36.0,4.8,138,63,2000-12-25,HV,0
6423,7,2985,10,False,6.5,3,AUS,Gelding,60,--,1089.0,123,11,7,2,12,2.0,,,0.25,8.0,7.5,,8.0,,24.75,22.94,24.49,,,,82.15,25.0,6.7,7,34,2002-11-21,HV,0
6424,14,3965,2,False,4.75,4,NZ,Gelding,39,--,1117.0,132,2,3,6,14,1.0,,,0.25,1.0,10.25,,,,13.78,23.14,24.65,24.69,,,83.2,18.0,5.8,109,40,1999-12-26,ST,0
6425,1,1451,2,False,9.25,3,GB,Gelding,77,--,1211.0,126,5,5,6,12,,,,5.0,1.75,7.0,2.5,,,13.74,22.29,24.58,23.28,,,61.23,14.0,,47,145,2001-09-06,HV,0
6426,4,993,4,False,2.25,5,IRE,Gelding,58,H,1076.0,114,1,12,6,6,11.0,,,6.75,3.25,7.0,,,,23.8,24.27,23.84,,,,108.3,48.0,3.8,164,39,2000-03-07,HV,0
6427,14,252,10,False,1.5,3,AUS,Gelding,60,--,1116.0,126,10,10,12,4,,,,2.25,2.5,2.25,,,,13.83,21.8,24.54,,,,84.87,35.0,20.0,80,64,2005-12-16,ST,0
6428,7,4096,10,False,2.0,5,AUS,Gelding,48,--,1046.0,124,2,8,7,11,5.0,10.0,,4.5,7.5,4.75,3.25,,,28.5,22.45,24.25,,,,73.14,29.0,1.4,54,115,2003-03-03,ST,0
6429,12,2318,7,False,0.25,3,IRE,Gelding,71,--,1179.0,132,9,13,4,6,7.0,,,3.75,1.25,0.25,3.25,,,24.46,22.34,23.33,22.56,,,102.62,32.0,5.5,55,21,2006-06-29,ST,0
6430,9,3623,6,False,4.0,3,NZ,Gelding,60,TT/CP,1172.0,133,3,11,12,10,,,,3.75,2.75,3.5,3.75,,,23.89,22.57,24.2,22.62,24.41,,71.24,99.0,1.8,109,161,2005-08-25,ST,0
6431,7,2168,2,False,8.75,3,NZ,Gelding,67,--,1048.0,130,12,6,12,5,,,,4.75,3.25,6.5,2.0,,,23.83,21.96,23.43,24.63,22.96,,95.98,19.0,3.6,138,49,2002-06-27,ST,0
6432,7,2642,14,False,9.25,3,IRE,Gelding,60,E/P,1137.0,128,8,11,12,5,,,,1.25,5.5,6.25,3.75,6.25,,24.5,20.93,23.59,,24.68,,137.96,9.3,2.4,4,21,1999-01-16,HV,0
6433,3,2387,14,False,4.5,3,IRE,Gelding,48,--,1098.0,131,9,5,11,1,7.0,,,3.25,5.5,3.25,3.75,,,13.88,21.65,23.69,,23.16,,101.22,7.8,3.5,27,40,2001-03-22,HV,0
6434,3,4208,1,False,1.25,3,IRE,Gelding,60,--,1114.0,133,4,9,10,11,,,,9.0,3.0,0.15,10.75,,,24.32,24.15,23.39,22.96,,,71.23,22.0,1.9,54,154,2005-01-14,ST,0
6435,7,529,12,False,6.0,3,NZ,Gelding,60,--,1057.0,129,5,1,13,6,,,,4.5,3.0,4.5,,,,13.46,21.79,23.04,,,,100.95,2.5,4.7,75,34,2005-07-11,ST,0
6436,10,4355,8,False,1.75,3,AUS,Gelding,60,--,1084.0,131,3,3,3,5,12.0,,,0.5,6.5,8.25,5.75,,,24.97,22.16,23.3,23.58,,,57.52,2.0,2.4,18,177,1998-09-18,ST,0
6437,13,3909,7,False,5.5,3,NZ,Gelding,60,--,1077.0,126,7,12,1,1,,,,5.75,2.75,3.0,,,,14.42,23.92,21.95,23.82,,,70.07,7.9,1.6,29,140,2005-08-11,HV,1
6438,2,1640,11,False,0.0,4,AUS,Gelding,60,--,1173.0,121,4,4,12,10,2.0,,,0.15,3.25,2.5,6.25,4.0,,13.06,21.16,23.23,,24.32,,84.06,64.0,2.5,4,21,2001-03-26,ST,0
6439,2,422,7,False,2.75,3,GB,Gelding,60,--,1132.0,126,2,11,9,10,,,,3.75,7.25,7.0,,,,25.14,22.49,23.06,24.26,,,71.07,17.0,1.8,164,17,1999-02-25,ST,0
6440,1,1332,1,False,5.0,3,IRE,Gelding,46,--,963.0,124,1,3,9,9,3.0,,,5.5,4.5,1.0,0.5,,,29.31,22.76,23.77,22.65,,,107.99,26.0,1.2,128,95,2003-03-03,ST,0
6441,4,586,6,False,0.75,3,AUS,Gelding,60,--,1136.0,124,7,1,10,4,,,,0.25,2.75,3.75,0.15,,,14.28,22.62,22.51,,24.36,,71.32,81.0,5.8,52,151,1998-06-25,ST,0
6442,7,3345,4,False,10.75,3,AUS,Gelding,60,--,1179.0,133,8,4,8,6,,,,0.15,4.0,1.5,,,,25.8,23.31,23.61,22.76,,,82.36,10.0,14.0,132,63,2000-08-11,ST,0
6443,2,1669,12,False,3.75,3,NZ,Gelding,60,--,1037.0,120,8,13,2,7,,,,1.25,4.5,3.5,3.5,,17.25,24.95,22.05,24.05,,,,70.65,10.0,3.7,97,64,2004-11-02,ST,0
6444,11,1021,2,False,1.5,3,IRE,Gelding,60,--,1147.0,119,1,3,11,7,,,,5.75,1.75,3.5,,,,13.8,22.69,24.43,,,,101.27,11.0,7.2,55,138,2002-03-21,HV,0
6445,10,3589,6,False,4.0,3,AUS,Gelding,73,CP,1095.0,133,8,9,9,10,,,,0.25,6.5,1.5,1.25,,,14.2,22.14,24.41,23.29,,,82.25,99.0,14.0,75,171,2004-03-12,HV,0
6446,1,4299,9,False,1.25,3,GB,Gelding,60,--,1050.0,119,5,2,6,11,3.0,,,2.25,4.5,2.0,,,,28.09,24.2,24.3,23.37,23.95,,59.2,23.0,33.0,75,177,2006-02-27,ST,0
6447,3,1067,6,False,1.5,3,AUS,Gelding,40,--,1108.0,131,8,8,6,14,,,,3.25,6.75,7.0,11.25,,,25.31,21.63,24.7,23.95,,,84.41,16.0,2.6,118,95,2005-09-17,ST,0
6448,13,1866,14,False,3.25,3,AUS,Gelding,60,--,1140.0,116,10,13,1,6,10.0,,,4.5,1.5,9.5,3.75,,,24.32,22.07,23.74,,,,56.36,99.0,16.0,138,21,1999-11-15,HV,0
6449,9,4291,10,False,4.5,3,AUS,Gelding,121,--,1061.0,112,9,3,6,12,4.0,,,0.15,2.5,13.5,1.0,1.0,,14.01,23.4,24.14,,,,84.59,15.0,1.4,60,64,2002-03-07,HV,0
6450,2,840,10,False,0.5,2,NZ,Gelding,60,--,1050.0,131,7,11,10,7,8.0,,,3.0,1.25,2.5,13.5,,,13.86,22.19,24.4,,,,71.62,82.0,2.0,54,151,2005-08-07,ST,0
6451,1,1720,3,False,4.25,3,GB,Gelding,60,--,1050.0,125,13,13,13,1,1.0,,,0.25,2.75,0.25,10.25,,,27.79,23.71,23.42,,,,71.93,99.0,5.2,138,2,1998-08-31,HV,0
6452,5,3271,9,False,2.5,3,AUS,Gelding,60,--,1177.0,118,1,10,8,7,13.0,,,3.5,1.25,0.75,,,,14.14,22.84,23.62,,,29.14,70.42,13.0,1.3,97,175,2001-03-17,ST,0
6453,11,3654,5,False,2.5,3,IRE,Gelding,71,TT,1180.0,116,11,1,10,5,14.0,,,3.5,5.0,4.75,8.75,,,24.37,21.85,23.16,,,,70.18,19.0,8.2,132,149,2002-11-14,HV,1
6454,11,2135,1,False,10.75,3,IRE,Gelding,37,B,1183.0,133,4,5,11,6,,,,10.0,1.25,2.25,7.0,,,24.92,23.41,24.4,25.42,23.38,,71.1,99.0,10.0,47,149,1998-12-29,HV,0
6455,9,2799,10,False,4.25,3,NZ,Gelding,60,--,1143.0,126,13,9,10,10,14.0,,,4.75,4.75,2.0,1.25,,,23.37,23.11,24.68,24.19,,,100.47,6.4,6.6,109,64,2001-02-13,ST,0
6456,3,494,5,False,0.0,5,GB,Gelding,86,--,1120.0,128,9,9,3,1,7.0,,,1.5,4.75,2.25,5.5,,,13.94,23.51,23.45,23.92,,,95.39,46.0,7.0,98,145,1999-05-31,HV,1
6457,3,743,8,False,8.5,3,NZ,Gelding,60,B,1119.0,113,9,8,8,4,,,,3.5,3.75,4.0,14.0,,,25.37,22.59,24.35,,,,59.2,8.5,2.0,137,24,1998-09-18,ST,0
6458,10,3117,4,False,4.25,4,NZ,Colt,60,--,1052.0,130,7,8,4,3,,,,9.5,4.5,10.5,,,,13.76,22.17,23.55,22.9,,,102.22,8.1,4.9,75,151,2002-12-09,HV,0
6459,6,385,12,False,3.5,3,USA,Gelding,60,--,1152.0,121,11,3,7,10,4.0,,,0.75,9.0,1.75,5.0,,,24.38,20.76,23.82,23.72,24.14,,69.89,9.2,32.0,63,115,2001-08-06,ST,1
6460,8,1569,11,False,4.75,4,AUS,Gelding,63,--,951.0,123,14,11,9,8,,8.0,,1.25,5.75,9.5,3.0,,,25.37,23.62,23.99,23.85,23.31,,69.5,17.0,26.0,47,34,1999-07-12,ST,0
6461,6,2642,6,False,1.75,3,NZ,Gelding,60,--,1179.0,125,10,11,13,2,,,,0.25,6.0,1.0,,,,24.1,22.61,24.08,24.53,,,97.43,12.0,2.5,75,91,2002-12-17,HV,0
6462,12,2790,11,False,4.5,4,IRE,Gelding,38,--,1117.0,116,8,1,5,13,,,,7.25,12.75,2.75,,,,24.12,23.23,23.21,,,,86.02,15.0,27.0,132,40,2002-08-12,HV,0
6463,12,166,10,False,9.0,3,AUS,Gelding,60,--,1068.0,133,12,12,11,9,7.0,,,0.5,3.0,7.75,7.75,,,13.24,22.49,23.53,,,,70.87,24.0,4.7,80,18,2005-06-17,HV,0
6464,9,3877,9,False,3.0,5,AUS,Gelding,75,--,1194.0,124,7,13,5,3,,11.0,,0.15,1.5,7.0,,,,13.72,21.88,24.32,,,,69.45,61.0,3.1,60,91,2003-07-31,HV,1
6465,10,1914,9,False,9.75,5,AUS,Gelding,60,--,1077.0,110,3,12,9,1,11.0,2.0,,0.25,3.25,0.25,0.25,,,13.47,22.78,24.8,23.62,,,97.93,2.7,11.0,60,63,2005-08-15,ST,0
6466,2,481,9,False,1.0,3,IRE,Gelding,60,TT/B-/SR,1094.0,120,9,7,6,12,9.0,,,6.25,4.0,5.0,,,,27.86,22.89,23.01,25.1,23.27,,71.75,1.9,3.3,69,2,2004-03-09,ST,0
6467,3,630,1,False,2.5,3,NZ,Gelding,52,--,1199.0,127,3,12,9,6,,,,3.25,3.5,5.25,,,,24.41,23.82,24.69,,,,71.67,27.0,1.4,138,100,2003-08-21,ST,0
